Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0878	NW7009	FHR5	Daisyfield Jn – Gannow Jn	11	09	21	03	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7009	FHR6	Gannow Jn – Hall Royd Jn	21	03	30	54	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7011	LHL	Farington Jn - Limit of electrification	0	00	0	56	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7011	LHL	Limit of electrification - Lostock Hall Jn (Lostock Hall Lines)	0	56	0	77	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7013	DJH	Daisyfield Jn – Hellifield	11	09	34	68	Y	Y	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7015	PRG	End of Line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	N	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0878	NW7017	GJC	Gannow Jn – Colne	21	03	27	37	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	R1 Prohibited between Brunley Central and Colne
London-North-Western-North	0878	NW7019	MPR2	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7021	MVL1	Miles Platting Jn – Philips Park West Jn	1	30	1	59	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7021	MVL1	Philips Park West Jn – Baguley Fold Jn	1	59	2	39	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7021	MVL1	Baguley Fold Jn – Ashton Moss North Jn	2	39	5	41	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7021	MVL1	Ashton Moss North Jn – Stalybridge Jn	5	41	7	46	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7021	MVL2	Stalybridge Jn – Stalybridge Tunnel Jn	7	46	8	08	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7021	MVL3	Stalybridge Tunnel Jn – Route Boundary (LN860) (Springwood Jn)	8	08	15	11	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7023	BPP	Philips Park West Jn – Brewery Jn	0	00	0	18	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7025	PPA1	Philips Park West Jn – Philips Park South Jn	1	59	2	07	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7025	PPA1	Philips Park South Jn – Change of Mileage	2	07	3	12	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7025	PPA2	Change of Mileage – Ashburys West Jn	0	57	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7027	PPP1	Baguley Fold Jn – Change of Mileage	2	39	2	13	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW7027	PPP2	Change of Mileage – Philips Park South Jn	0	00	0	19	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0878	NW8001	HXS1	Hunts Cross West Jn – Liverpool Central	6	11	0	02	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0878	NW8001	HXS2	Liverpool Central – Paradise Jn	37	13	36	71	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0878	NW8001	HXS2	Paradise Jn – Sandhills Jn	36	71	34	75	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0878	NW8001	HXS3	Sandhills Jn – Bootle Jn	1	41	2	39	Y	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0878	NW8001	HXS3	Bootle Jn – Southport	2	39	18	35	Y	N	N	N	N	N	N	N	N	N	
