Western-and-Wales	0826	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Western-and-Wales	0826	GW894	JER	Jersey Marine Jn North	Jersey Marine Jn South	Jersey Marine Jn North – Jersey Marine Jn South	1	24	2	26	6	Y	
Western-and-Wales	0826	GW897	HDY	Grovesend Colliery Loop Jn	Hendy Jn	Grovesend Colliery Loop Jn – Hendy Jn	0	00	0	46	6	Y	
Western-and-Wales	0826	GW900	BSW	Ableton Lane Tunnel	Severn Tunnel Jn	Ableton Lane Tunnel – Severn Tunnel Jn	10	51	16	73	8	Y	
Western-and-Wales	0826	GW900	SWM2	Severn Tunnel Jn	Maindee West Jn	Severn Tunnel Jn – Maindee West Jn	149	14	158	16	8	Y	
Western-and-Wales	0826	GW900	SWM2	Maindee West Jn	Cardiff East Jn	Maindee West Jn – Cardiff East Jn	158	16	170	18	8	R1 R2	R1 Prohibited between Newport and Alexandra Dock Jn on the Down Relief line R2 Prohibited Newport platform 3 (Up Down platform line)
Western-and-Wales	0826	GW900	SWM2	Cardiff East Jn	Cardiff West Jn	Cardiff East Jn – Cardiff West Jn	170	18	170	56	8	R1	R1 Prohibited Cardiff Central platform 7 (Down Barry line)
Western-and-Wales	0826	GW900	SWM2	Cardiff West Jn	Court Sart Jn	Cardiff West Jn – Court Sart Jn	170	56	206	58	8	Y	
Western-and-Wales	0826	GW900	SWM2	Court Sart Jn	Llandore Jn	Court Sart Jn – Llandore Jn	206	58	214	62	8	R1	R1 Prohibited between Skewen and Llansamlet on the Up line
Western-and-Wales	0826	GW900	SWM2	Llandore Jn	Llandeilo Jn	Llandore Jn – Llandeilo Jn	214	62	223	49	7	R1	R1 Prohibited between Swansea Loop West Jn and Former Cockett West Jn (217m 66ch) on the Down Main line
Western-and-Wales	0826	GW900	SWM2	Llandeilo Jn	Carmarthen Bridge Jn	Llandeilo Jn – Carmarthen Bridge Jn	223	49	245	32	8	R1	R1 Prohibited Between Kidwelly Jn and Buffer Stops on Goods line connections to former Cwmmawr branch
Western-and-Wales	0826	GW900	SWM2	Carmarthen Bridge Jn	Whitland Jn	Carmarthen Bridge Jn – Whitland Jn	245	32	259	01	8	Y	
Western-and-Wales	0826	GW900	SWM2	Whitland Jn	Clarbeston Road Jn	Whitland Jn – Clarbeston Road Jn	259	01	271	08	8	R1	R1 Prohibited Clarbeston Road Up Main line platform
Western-and-Wales	0826	GW900	CRL	Clarbeston Road Jn	Change of ELR (Letterston Jn)	Clarbeston Road Jn – Change of ELR (Letterston Jn)	271	08	281	58	7	Y	
Western-and-Wales	0826	GW900	NPF	Change of ELR (Letterston Jn)	Network Rail Boundary (Fishguard Harbour)	Change of ELR (Letterston Jn) – Network Rail Boundary (Fishguard Harbour)	283	30	287	52	7	Y	
Western-and-Wales	0826	GW9001	SWA	Landore Jn	Swansea	Landore Jn – Swansea	214	62	216	07	7	Y	
Western-and-Wales	0826	GW906	SWL	Swansea Loop East Jn	Swansea Loop West Jn	Swansea Loop East Jn – Swansea Loop West Jn	0	53	0	00	7	Y	
Western-and-Wales	0826	GW910	CWL1	Craven Arms Jn	Change of Mileage	Craven Arms Jn – Change of Mileage	20	01	20	12	5	Y	
Western-and-Wales	0826	GW910	CWL2	Change of Mileage	Site of Former Llandovery Jn	Change of Mileage – Site of Former Llandovery Jn	0	00	59	14	5	Y	
Western-and-Wales	0826	GW910	VOT	Site of Former Llandovery Jn	Llandeilo	Site of Former Llandovery Jn – Llandeilo	29	40	18	07	5	Y	
Western-and-Wales	0826	GW910	LLA	Llandeilo	Pantyffynnon	Llandeilo – Pantyffynnon	18	07	10	08	5	Y	
Western-and-Wales	0826	GW910	LLA	Pantyffynnon	Morlais Jn	Pantyffynnon – Morlais Jn	10	08	3	50	5	Y	
Western-and-Wales	0826	GW910	LLA	Morlais Jn	Llandeilo Jn	Morlais Jn – Llandeilo Jn	3	50	0	00	8	Y	
Western-and-Wales	0826	GW915	GWA	Gwaun-cae-Gurwen	Former Jn (Change of ELR)	Gwaun-cae-Gurwen – Former Jn (Change of ELR)	16	41	14	60	5	Y	
