Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	57	58	59	Notes
London-North-Eastern	1183	LN694	BNE	Benton North Jn – Site of Former Earsdon Jn	0	00	2	53	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN694	EJM	Site of Former Earsdon Jn – Morpeth North Jn	7	08	20	47	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN696	HJM	Hepscott Jn – Morpeth Jn	19	44	20	47	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN700	BWO2	Butterwell Jn – Signal B1	0	00	0	48	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN702	BWC	Bedlington North – Network Rail Boundary (Lynemouth Colliery)	0	00	4	14	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN704	ISC	Newsham North Jn – Network Rail Boundary (Blyth Bates Terminal)	0	00	0	36	-	N	N	N	N	N	N	N	N	N	N	Line out of use NME/2010/LNE/006 and NME/2010/LNE009
London-North-Eastern	1183	LN706	WSB	West Sleekburn Jn – North Blyth	0	00	3	22	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN708	MWJ	Winning Jn – Marchey's House Jn	0	31	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	Cleethorpes – Grimsby Docks	112	40	110	11	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	Grimsby Docks – Marsh West Jn	110	11	107	69	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	Marsh West Jn – Wrawby Jn	107	69	94	12	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	Wrawby Jn – West Burton East Jn	94	12	72	18	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	West Burton East Jn – Thrumpton West Jn (Up)	72	18	63	28	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	Thrumpton West Jn (Up) – Manton Wood	63	28	58	54	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	Manton Wood – Brancliffe East Jn	58	54	53	57	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	MAC3	Brancliffe East Jn – Woodburn Jn	53	57	42	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	NUJ2	Woodburn Jn – Site of Former Nunnery Jn	42	29	41	68	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN736	NUJ1	Site of Former Nunnery Jn – Nunnery Main Line Jn	159	33	158	77	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN738	MWN	Great Coates No. 1 – Network Rail Boundary (ABP)	108	34	108	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN740	MWN	Marsh West Jn – Network Rail Boundary (ABP)	107	69	108	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1183	LN740	PYE2	Network Rail Boundary (ABP) – Site of Former Queens Road Jn	4	33	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
